"","wt_1","wt_2","wt_3","wt_4","wt_5","wt_6","KO_1","KO_2","KO_3","KO_4","KO_5","KO_6"
"Adora1",0,2,0,13,0,0,0,0,0,1,0,0
"Prim2",5,19,51,18,19,33,44,41,14,16,42,15
"Sntg1",0,0,0,0,0,0,0,0,0,0,0,0
"Cflar",195,448,887,661,362,343,630,392,404,674,549,788
"Adgrb3",0,0,0,0,0,0,0,0,0,0,0,0
"Obsl1",0,0,0,0,1,0,0,0,0,1,0,0
"Gpr39",0,0,0,0,0,0,0,0,0,0,0,0
"1700112H15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"Pld5",4,4,0,0,0,0,0,4,0,2,0,0
"Syt14",0,5,0,0,0,0,0,0,5,3,0,0
"Lmx1a",0,0,0,0,0,0,0,0,0,0,0,0
"A830018L16Rik",0,0,0,3,5,0,0,2,0,0,0,0
"Cpa6",0,0,0,0,0,0,0,0,0,0,0,0
"Lactb2",15,13,63,21,24,9,24,19,8,9,21,22
"Efhc1",0,0,0,10,1,2,0,0,0,1,0,0
"Khdrbs2",0,0,0,0,0,0,0,0,0,0,0,0
"Lonrf2",0,0,0,0,0,0,0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0,0,0,0,0,0,3
"Actr1b",17,32,174,74,30,67,57,58,40,40,50,94
"Dnah7b",0,0,0,0,0,0,0,0,0,0,0,0
"Gpr45",0,0,0,0,0,0,0,0,0,0,0,0
"Pgap1",104,233,374,254,268,242,282,217,87,196,240,298
"Dnah7a",0,0,0,0,0,0,0,0,0,0,0,0
"Plcl1",20,46,44,9,38,31,39,32,20,39,41,45
"Pard3b",12,12,85,26,36,19,50,29,19,32,30,15
"Bmpr2",34,111,300,155,94,157,145,37,54,128,130,123
"Spag16",0,0,0,0,0,0,0,0,0,0,0,0
"Abca12",0,0,0,0,0,0,0,0,0,0,0,0
"Xrcc5",34,25,82,29,32,29,44,7,15,17,11,13
"Usp37",107,167,131,191,134,159,186,144,140,147,129,217
"Erbb4",1,0,0,0,0,0,0,0,0,0,0,0
"D530049I02Rik",0,0,0,0,0,0,0,0,0,0,0,0
"Pinc",0,0,0,0,0,0,0,0,0,0,0,0
"Dock10",547,795,1051,976,1141,840,1187,737,791,983,779,926
"Dis3l2",32,45,33,31,13,14,45,28,18,21,52,34
"Sh3bp4",21,132,183,75,92,107,212,119,117,152,119,168
"Ugt1a9",0,0,0,0,0,0,0,0,0,0,0,0
