"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","ctrl_5","tx_1","tx_2","tx_3","tx_4","tx_5"
"Adora1",0,0,8,22,0,18,50,0,0,0
"Prim2",57,21,51,69,29,67,85,94,119,100
"Sntg1",0,1,0,0,0,0,0,0,0,0
"Cflar",1386,1145,1268,1252,1270,2114,1952,1901,1461,2020
"Adgrb3",0,0,0,0,0,0,0,0,0,0
"Obsl1",10,0,0,0,0,0,0,9,19,0
"Gpr39",0,0,0,8,0,0,0,0,0,0
"1700112H15Rik",0,0,0,0,0,0,0,0,0,0
"Pld5",0,0,0,0,0,0,0,0,0,0
"Syt14",0,0,0,0,0,0,0,0,0,0
"Lmx1a",0,0,0,0,0,0,0,0,0,0
"A830018L16Rik",0,0,0,0,0,30,0,0,0,3
"Cpa6",0,0,0,0,0,0,0,0,0,0
"Lactb2",0,59,0,0,0,22,18,11,12,36
"Efhc1",20,0,0,0,0,0,0,0,0,0
"Khdrbs2",0,0,0,0,0,0,0,0,0,0
"Lonrf2",0,0,0,0,0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0,0,0,0,0
"Actr1b",62,120,169,107,157,114,270,187,138,277
"Dnah7b",0,0,0,0,0,0,0,0,0,0
"Gpr45",0,0,0,0,0,0,0,0,0,0
"Pgap1",168,230,193,230,119,344,198,299,173,158
"Dnah7a",0,0,0,0,0,0,0,0,0,0
"Plcl1",66,66,73,20,102,100,224,145,23,137
"Pard3b",90,137,256,121,234,146,173,151,78,132
"Bmpr2",316,176,148,70,194,224,209,265,127,369
"Spag16",0,0,0,8,0,0,0,0,0,0
"Abca12",0,0,0,0,0,0,0,0,0,0
"Xrcc5",38,55,17,74,84,103,156,243,79,182
"Usp37",108,69,46,87,218,137,205,156,31,155
"Erbb4",0,0,0,0,0,0,0,0,13,0
"D530049I02Rik",0,0,0,0,0,0,0,0,0,0
"Pinc",0,0,0,0,0,0,0,0,0,0
"Dock10",1651,1702,805,1269,1401,1607,1637,1342,1099,1391
"Dis3l2",117,42,44,33,65,22,81,101,112,86
"Sh3bp4",40,79,89,1,41,284,204,234,262,470
"Ugt1a9",0,0,0,0,0,0,0,0,0,0
"Ugt1a10",0,0,0,0,0,0,0,0,0,0
"Slc16a14",2,0,0,0,0,0,0,0,0,0
"Pask",23,0,99,1,3,2,17,142,0,0
"Serpinb12",0,0,0,0,0,0,0,0,0,0
"Cdh20",0,0,0,0,0,0,0,0,0,0
"Cntnap5a",0,0,0,0,0,0,0,0,0,0
"Cdh7",0,0,0,0,0,0,0,0,0,0
"Dpp10",59,28,71,0,0,0,45,37,17,9
"Clasp1",136,145,93,206,171,163,177,236,88,96
"Rab3gap1",454,626,954,381,643,487,835,878,592,706
"Mapkapk2",967,1055,5465,504,1022,2175,1719,5041,1501,2699
"Cdk18",0,0,6,0,0,0,0,53,0,17
"Thsd7b",0,0,0,0,0,0,0,0,0,0
"Rnpep",372,178,711,179,183,586,273,828,182,544
"Camsap2",271,189,508,413,390,377,194,365,322,170
"Aspm",125,74,215,146,102,37,131,1,27,6
"Kcnt2",0,0,0,0,0,0,0,0,11,0
"Pla2g4a",27,68,136,0,49,221,155,107,6,55
"Brinp3",0,0,0,12,0,0,0,0,0,0
"Cdc73",270,398,216,136,265,443,299,274,86,411
"1700025G04Rik",446,325,553,302,360,397,339,326,328,390
"Nmnat2",13,0,0,0,0,27,0,0,0,0
"Brinp2",20,0,0,0,0,0,0,0,0,0
"Stx6",259,310,94,61,132,304,155,391,322,168
"Rasal2",313,228,0,155,276,176,227,230,89,220
