gene	01_ctrl	02_ctrl	03_ctrl	04_ctrl	05_tx	06_tx	07_tx	08_tx
Gm26206	0	0	0	0	0	0	0	0
Xkr4	0	0	0	1	0	0	0	0
Rp1	4	4	1	5	2	4	0	2
Sox17	13	11	15	14	5	9	9	11
Gm22307	5	1	4	5	4	3	4	3
Gm37323	0	0	0	0	0	0	0	0
Gm39586	0	0	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0	0	0
Gm29874	0	0	1	0	0	0	0	0
Mrpl15	4211	3938	3878	4023	4120	3486	3548	3405
Lypla1	582	495	555	677	674	593	669	704
Tcea1	1352	1388	1159	838	909	1216	993	771
Rgs20	0	0	0	0	0	1	0	0
Gm16041	0	1	0	0	0	0	0	0
Atp6v1h	554	520	409	593	477	427	457	421
Oprk1	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0
Gm46206	0	1	1	1	0	0	0	0
4732440D04Rik	56	46	43	29	52	53	59	51
Rb1cc1	1233	1081	1231	1120	857	706	857	725
Alkal1	0	0	0	1	0	1	0	1
St18	0	0	0	0	0	0	0	0
Pcmtd1	549	439	513	446	410	410	409	311
Gm23274	0	0	0	0	0	0	0	0
Gm26901	10	0	0	2	16	14	3	0
Gm39589	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	0	0	0	0
Gm30719	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0
Rrs1	2536	2681	2755	2648	2440	2514	2768	2582
Adhfe1	0	3	0	5	2	14	5	6
2610203C22Rik	0	0	0	0	0	0	0	0
Vxn	0	0	0	0	0	0	1	1
Mybl1	165	214	152	120	223	165	93	166
Vcpip1	1110	879	935	903	914	791	785	761
1700034P13Rik	0	6	0	0	5	0	0	0
Gm39590	0	9	4	5	0	0	0	0
Sgk3	175	134	129	171	233	243	208	117
Mcmdc2	14	2	17	11	7	18	6	24
Snhg6	183	206	317	422	447	370	240	345
Snord87	140	132	155	125	127	111	105	123
Tcf24	5	0	0	0	0	1	0	0
Ppp1r42	5	0	0	4	17	12	8	1
LOC115487608	0	0	0	0	0	0	0	0
Cops5	2729	2425	2352	2412	2121	2237	2296	2278
Cspp1	979	792	996	712	815	718	936	572
Arfgef1	1552	1660	1473	1563	1552	1432	1551	1446
Cpa6	0	0	0	0	0	0	0	0
Gm25253	1	1	0	0	0	0	0	0
Prex2	47	35	32	41	27	28	35	29
Gm24173	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	1	0	0	0	0	0
Gm30898	0	0	0	0	0	0	0	0
Gm30974	0	0	0	0	0	0	0	0
Gm22633	3	3	4	2	1	2	0	0
Gm39591	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0
Gm17644	1	0	0	0	0	0	0	0
Sulf1	7	3	2	6	1	4	3	8
Slco5a1	0	5	3	0	3	2	0	0
Gm39592	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0
Ncoa2	367	368	417	438	481	420	413	332
Gm23169	0	0	0	0	0	0	0	0
Gm39595	0	0	0	0	0	0	0	0
Tram1	2032	1796	1923	1959	1791	1929	2160	1701
