gene	ctrl_01	ctrl_02	ctrl_03	ctrl_04	tx_01	tx_02	tx_03	tx_04
Gm26206	0	0	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0
Gm22307	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	1	0	1
Gm39586	0	0	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0	0	0
Mrpl15	4191	3951	4440	4724	3627	4149	3710	3866
Lypla1	4257	4447	4891	5041	3996	4403	4091	3971
Tcea1	2854	3066	3304	3612	2560	2881	2694	2569
Rgs20	4	4	2	3	2	4	3	1
Gm16041	0	0	0	0	0	0	0	0
Atp6v1h	1737	1791	1956	2036	1647	1779	1677	1677
Oprk1	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0
Gm46206	0	0	0	0	0	0	0	0
4732440D04Rik	221	169	153	112	179	190	174	122
Rb1cc1	1557	1701	1768	1754	1444	1774	1576	1465
Alkal1	0	0	0	0	0	0	0	0
St18	3	3	10	9	6	5	9	8
Pcmtd1	1103	1138	1158	1242	1131	1303	1256	1057
Gm23274	0	0	0	0	0	0	0	0
Gm26901	4	5	6	10	10	7	8	7
Gm39589	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	0	0	0	0
Gm30719	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0
Rrs1	3689	3461	3742	4130	3272	3499	3365	3423
Adhfe1	5	8	8	10	8	7	7	5
2610203C22Rik	1	0	0	0	1	0	0	2
Vxn	0	0	0	0	0	0	0	0
Mybl1	533	585	590	558	562	593	628	579
Vcpip1	3183	3347	3582	3671	2969	3137	3057	2923
1700034P13Rik	4	4	5	8	4	8	5	5
Gm39590	0	0	0	1	0	1	1	0
Sgk3	513	517	546	567	512	568	517	543
Mcmdc2	761	682	797	746	747	798	686	660
Snhg6	55	54	60	65	39	44	45	44
Snord87	0	0	0	0	0	0	0	0
Tcf24	0	1	1	0	1	1	0	1
Ppp1r42	0	1	1	2	0	1	3	2
LOC115487608	0	0	0	0	0	0	0	0
Cops5	4654	4408	4999	5016	4095	4645	4168	4380
Cspp1	1289	1213	1329	1270	1154	1242	1227	1250
Arfgef1	7492	7807	7876	7920	6624	7529	7018	6810
Cpa6	0	0	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0	0	0
Prex2	1	0	1	1	0	0	0	0
Gm24173	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0	0	0
Gm30898	0	0	0	0	0	0	0	0
Gm30974	0	0	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0	0	1
Gm39591	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0
Sulf1	2	1	2	2	0	2	2	2
Slco5a1	9	15	14	11	14	8	11	15
Gm39592	0	0	0	0	0	0	0	0
Prdm14	0	0	0	1	0	0	0	0
Ncoa2	3263	3314	3405	3217	2552	3231	3032	2933
Gm23169	0	0	1	0	0	0	0	0
Gm39595	0	0	0	0	0	0	0	0
Tram1	5565	5647	6345	6365	5278	5783	5371	5257
Lactb2	2107	2104	2237	2212	2143	2438	2143	2178
Xkr9	0	0	0	0	0	0	1	3
Gm26273	0	0	0	0	0	0	0	0
Gm5523	39	27	26	33	28	24	29	23
Gm31195	0	0	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0	0	0
Eya1	0	0	0	0	0	1	0	1
Msc	3	7	4	2	2	3	2	1
Gm9947	0	1	2	0	4	0	2	1
Trpa1	30	20	15	28	19	9	21	17
Kcnb2	0	0	0	0	0	0	0	0
Gm51415	1	0	0	0	0	0	0	0
Gm51616	0	0	0	0	0	0	0	0
Gm51617	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0
Terf1	959	996	1114	1150	949	1131	1039	918
Sbspon	7	10	15	11	14	12	8	16
Gm31523	0	0	0	0	0	1	0	0
4930444P10Rik	0	0	0	0	0	0	0	0
Rpl7	52795	51693	57261	59267	46596	54540	49589	48483
Rdh10	376	318	444	410	379	410	315	363
Stau2	47	51	44	65	39	59	45	35
Gm7568	0	0	0	0	0	0	0	0
C130013N14Rik	1	1	1	1	1	2	1	0
Ube2w	854	915	942	907	861	875	810	873
Eloc	3321	3379	3784	3948	3255	3407	3181	3198
D030040B21Rik	4	0	2	2	2	0	2	0
Tmem70	2443	2320	2582	2689	2100	2367	2196	2225
Ly96	14	9	6	10	8	8	11	14
Jph1	1	0	4	0	0	1	4	1
Gm46085	0	0	0	0	0	0	0	0
Gm31982	0	0	0	0	0	0	0	0
Gm28783	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	0	0	0	0
Gm28784	0	0	0	0	0	0	0	0
Gm39597	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0
Gm28154	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0
Tfap2b	0	1	0	0	0	0	0	0
Gm32651	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0
Il17a	1	3	1	0	2	0	3	3
Il17f	7	4	15	14	10	18	13	15
Mcm3	24930	24288	25853	27125	21054	25393	23117	22357
Gm24723	0	0	0	0	0	0	0	0
6720483E21Rik	2	4	5	3	2	2	2	1
Paqr8	102	82	95	92	85	93	100	87
Gm24171	0	0	0	0	0	0	0	0
Gm51618	0	1	0	0	0	0	0	0
Efhc1	5	8	11	7	3	5	3	10
Tram2	75	77	87	77	49	79	76	61
Tmem14a	75	61	56	56	49	59	59	41
Gm32947	0	0	0	0	0	0	0	0
Gm28836	0	0	1	1	0	1	0	0
Gsta3	1	2	4	1	2	6	2	3
Gm4956	1	0	0	0	0	1	1	0
Khdc1a	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0
Gm33147	0	0	0	0	0	0	0	0
Khdc1b	1	0	0	1	1	0	0	0
Kcnq5	710	711	770	750	662	792	731	672
Rims1	0	0	0	0	0	0	0	0
Gm7759	0	0	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0	0	0
Gm30442	0	0	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0
Ogfrl1	219	229	313	252	228	225	181	171
Gm19673	0	0	0	0	1	0	0	0
Gm28822	0	0	0	0	0	0	0	0
B3gat2	44	30	41	39	55	51	54	41
Smap1	996	1067	1124	1141	917	1024	978	961
Gm53062	4	0	2	4	0	2	1	4
Sdhaf4	179	224	219	192	171	227	166	189
Fam135a	24	24	24	17	17	27	17	20
Col9a1	0	0	0	0	0	0	0	0
Col19a1	0	0	0	1	0	0	0	0
Gm26418	0	0	0	0	0	0	0	0
Lmbrd1	723	656	782	792	716	749	698	753
Gm29414	0	0	0	0	0	0	0	0
Adgrb3	0	0	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0	0	0
Gm9884	0	0	0	0	0	0	0	0
Gm53060	0	0	0	0	0	0	0	0
Gm39614	0	0	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0	0	0
Gm31136	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0
Gm45942	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0	0	0
Gm31581	0	0	0	0	0	0	0	0
Gm39615	0	0	0	0	0	0	0	0
LOC115487655	0	0	0	0	0	0	0	0
Phf3	4907	5011	5166	5159	4195	5034	4582	4337
Gm7256	0	0	0	0	0	0	0	0
Ptp4a1	532	504	593	555	498	474	475	480
LOC115487084	0	0	0	2	0	0	0	0
Gm29669	0	0	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0
Dnaaf6	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0
Gm4850	0	1	0	0	0	0	0	0
LOC115487662	0	0	0	0	0	0	0	0
Gm23032	0	0	0	0	0	0	0	0
Gm51754	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	0	0
Gm25814	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0
Gm39616	0	0	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0	0	0
Gm39617	1	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0	0	0
Prim2	2931	3007	3165	3267	2672	3091	2867	2739
1700001G17Rik	12	5	13	10	12	12	6	4
Gm32229	0	1	0	0	0	1	0	0
Rab23	476	440	424	500	482	484	451	444
Bag2	1382	1345	1483	1523	1253	1389	1191	1279
Zfp451	1807	1739	1778	1875	1591	1708	1608	1613
Gm15455	18	18	28	27	21	9	12	16
Bend6	10	8	5	2	7	7	8	6
Gm38471	0	0	0	0	0	0	0	0
Dst	137	122	117	150	132	153	122	156
Mir6896	0	0	0	0	0	0	0	0
Gm51742	0	0	0	0	0	0	0	0
Gm26788	0	0	0	0	1	1	0	0
Mir5103	2	0	0	1	0	2	2	1
n-TEttc1	0	0	0	0	0	0	0	0
Ccdc115	1516	1452	1597	1723	1396	1558	1414	1485
Imp4	3903	3549	3964	4287	3319	3583	3360	3513
Gm32504	7	2	2	1	3	4	5	5
Ptpn18	1135	1033	1191	1090	952	1044	949	971
4930568A12Rik	8	9	10	13	6	11	16	11
Gm32566	7	15	12	16	16	10	12	5
Prss39	0	2	1	3	3	1	0	0
Cfc1	0	0	1	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	2	0	0
AA619741	0	0	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0	0	0
Arhgef4	363	369	427	373	356	397	418	418
Gm32920	0	0	0	0	0	0	0	0
Gm32790	6	5	5	5	4	6	9	8
Fam168b	8845	8839	9329	9402	7593	8818	8056	7891
Plekhb2	2655	2668	2674	2787	2291	2718	2492	2250
Gm25096	0	0	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0
Gm33176	0	1	0	0	0	1	0	0
Gm39622	0	0	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0	0	0
Gm39624	0	0	0	0	0	0	1	0
Hs6st1	1196	1165	1197	1232	1018	1260	1067	1107
Gm33280	16	12	8	13	16	9	16	19
Uggt1	7402	7341	7698	7618	6387	7448	6836	6705
Mir6897	0	0	0	2	0	0	1	0
Gm39625	0	0	0	0	1	0	0	1
Neurl3	457	419	458	443	426	438	433	409
Arid5a	3807	3849	4013	4219	3853	4301	3935	3986
Kansl3	3746	3426	3529	3456	3170	3511	3158	3224
Mir6898	0	0	0	0	0	0	0	0
Fer1l5	7	3	5	5	8	8	4	2
Lman2l	1063	949	1002	968	898	1013	874	901
Gm33401	0	0	0	0	0	0	0	0
Gm33454	8	13	17	15	5	14	10	15
Cnnm4	808	739	813	856	714	873	776	738
Cnnm3	1625	1570	1584	1635	1374	1608	1449	1412
Ankrd23	625	586	667	578	718	733	616	645
Ankrd39	591	525	563	565	498	574	543	532
Sema4c	1550	1562	1707	1713	1600	1824	1665	1649
Fam178b	7	6	5	11	15	14	4	9
Cox5b	3781	3564	3913	3983	3221	3637	3428	3400
Actr1b	4778	4443	4740	5106	4329	4636	4333	4389
Gm33533	0	1	0	1	2	0	2	1
4933424G06Rik	0	0	1	0	4	1	0	1
Zap70	7361	7021	7551	7661	6297	7206	6618	6487
Tmem131	5904	5811	6128	6167	5019	6139	5524	5469
Vwa3b	2	2	2	1	1	3	4	1
Gm39626	0	0	0	0	0	0	0	0
Gm37020	0	0	0	1	0	0	0	0
Cnga3	2	0	0	1	0	1	0	0
Inpp4a	821	682	762	730	631	756	670	650
4930439A04Rik	0	0	0	0	0	0	0	0
Coa5	5023	5071	5630	6012	4259	5076	4744	4607
Unc50	1294	1185	1343	1408	1127	1274	1124	1172
Mgat4a	1407	1451	1563	1479	1150	1414	1198	1301
4930594C11Rik	9	12	8	6	7	11	18	6
Gm39627	0	0	1	0	1	0	1	1
Cracdl	54	74	62	47	24	27	30	29
4930556I23Rik	2	3	9	1	3	3	0	0
4930470B04Rik	0	0	0	0	0	0	0	0
Gm39628	0	0	0	0	0	0	0	0
Tsga10	63	57	69	64	66	72	68	61
Lipt1	224	174	187	205	198	194	165	170
Mitd1	987	961	1093	1111	892	980	907	914
Mrpl30	3273	3042	3441	3622	2880	3176	3056	2922
Lyg2	0	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0
Txndc9	2210	2060	2373	2432	2107	2273	2040	2099
Eif5b	13840	13989	14773	16105	12502	14014	12945	13287
Gm34448	1	4	3	3	1	2	4	3
Rev1	1224	1194	1173	1374	1107	1288	1205	1199
Gm5099	0	1	0	0	0	0	0	0
Aff3	4669	4509	4647	4543	3088	4063	3641	3449
Gm16150	44	43	28	31	36	39	36	28
Gm34596	12	21	16	15	26	26	12	12
LOC115487659	0	0	0	0	0	0	0	0
Lonrf2	2	8	8	2	6	5	1	5
Chst10	558	517	591	608	561	679	611	524
Gm51581	2	2	2	1	3	3	1	0
Nms	0	0	0	0	0	0	0	0
Gm35171	0	0	0	0	0	0	0	0
Pdcl3	1911	1894	2086	2163	1717	1971	1819	1836
Gm35222	0	0	0	0	0	0	1	0
Mir6349	0	0	0	0	0	0	0	0
Npas2	130	139	165	154	138	201	153	169
Rpl31	6133	5736	6435	6870	5341	6313	5912	6089
Tbc1d8	53	46	46	47	37	68	56	42
Gm24826	0	0	0	0	0	0	0	0
Cnot11	2222	2237	2453	2570	2021	2234	2099	2014
Snord89	24	32	20	16	22	30	17	27
Rnf149	1144	1091	1279	1324	1104	1300	1180	1162
LOC115485772	0	0	0	0	0	0	0	0
Gm51620	0	0	2	3	1	1	1	0
Creg2	0	0	1	1	0	0	0	0
D930019O06Rik	0	0	0	0	0	0	0	0
Rfx8	5	4	5	5	3	6	6	8
Gm3646	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	1	0	0
Gm35600	0	0	2	0	0	0	1	3
Map4k4	7293	7152	7537	7820	6604	7815	7213	7082
Gm16894	2	3	1	1	1	2	0	1
Il1r2	14	18	15	26	16	29	24	21
Gm35741	0	0	0	0	0	0	0	0
Il1r1	6	4	4	11	11	11	7	3
Il1rl2	175	203	155	213	181	164	149	160
Il1rl1	10	11	7	8	7	7	8	20
Il18r1	110	121	119	121	200	207	173	224
Il18rap	275	263	212	252	293	297	334	265
Gm35801	0	0	0	0	0	0	0	0
Slc9a4	0	0	0	0	0	0	0	0
Slc9a2	6	8	6	4	10	13	6	4
Gm37915	1	2	2	2	0	2	0	0
Mfsd9	53	49	57	49	44	45	52	54
Tmem182	0	0	0	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0	0	0
Gm39631	0	0	0	0	0	0	0	0
Gm35935	0	0	0	0	0	0	0	0
Gm29260	0	0	0	0	0	0	0	0
Gm28175	1	0	0	0	0	0	0	0
Gm46088	0	0	0	0	0	0	0	0
Gm36678	0	0	0	0	0	0	0	0
Gm46089	0	0	0	0	0	0	0	0
Gm36822	0	0	0	0	0	0	0	0
Gm30248	0	0	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0	0	0
Gm46091	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0
Mrps9	2815	2557	2913	3060	2564	2851	2569	2515
Gm23126	0	0	0	0	0	0	0	0
Gm39633	0	0	0	0	0	0	0	0
Gpr45	0	0	1	0	1	1	0	1
Tgfbrap1	1462	1398	1400	1447	1184	1436	1331	1338
Gm28782	10	9	2	4	7	1	2	6
8430432A02Rik	3	7	3	8	2	8	2	3
AI597479	1648	1783	1785	1880	1502	1649	1513	1455
Fhl2	215	180	208	227	170	202	148	187
Gm29040	0	0	0	0	0	0	0	0
LOC115487086	0	0	0	0	0	0	0	0
Nck2	436	405	495	473	388	425	384	366
Gm38628	0	0	0	0	0	0	0	0
Gm30634	0	0	0	0	0	0	0	1
Ecrg4	7	7	6	7	4	5	6	6
Uxs1	1067	1038	1154	1240	1037	1152	1122	1056
Tpp2	7210	7604	7863	8487	6822	7602	7153	7305
Mettl21c	0	1	5	2	1	2	2	2
Gm8251	60	50	33	52	46	45	41	50
Tex30	2119	2067	2301	2392	2003	2086	1878	2032
Poglut2	1535	1436	1534	1626	1347	1530	1380	1443
Bivm	996	999	1062	1087	967	1048	891	952
Ercc5	1396	1344	1435	1380	1334	1485	1423	1327
Mettl21e	0	0	0	0	0	0	0	0
Gm28893	0	0	0	0	0	0	0	0
Gm39635	0	0	0	0	0	0	0	0
Gulp1	0	0	0	0	0	0	0	0
4930521E06Rik	0	0	0	0	0	0	0	0
Col3a1	0	0	0	0	0	0	0	0
Col5a2	0	1	0	0	0	0	0	0
Gm39637	0	0	0	0	0	0	0	0
Gm23216	0	0	0	0	0	0	0	0
Gm51621	0	0	0	0	0	0	0	0
Gm23974	0	0	0	0	0	0	0	0
Wdr75	6217	6069	6783	7201	5635	6214	5816	6047
Gm30900	2	1	0	0	1	0	0	0
Slc40a1	0	0	0	0	0	1	0	0
Stk-ps2	0	0	0	0	0	0	0	0
Dnah7b	0	0	0	0	0	0	0	0
Gm31046	0	0	0	0	0	0	0	0
n-R5s211	0	0	0	0	0	0	0	0
Dnah7c	3	2	12	3	9	4	8	4
Slc39a10	3279	3304	3327	3623	3368	3577	3223	3408
Gm39638	0	0	0	0	0	0	0	0
Gm39639	0	0	0	0	0	0	0	0
Mir6350	0	0	0	0	0	0	0	0
C230029F24Rik	0	0	0	0	0	0	0	0
Gm39640	0	0	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0	0	1
Tmeff2	1	0	0	0	0	0	0	0
9330175M20Rik	0	0	0	0	0	0	0	0
Cavin2	0	0	0	0	0	0	0	0
Nabp1	10712	10863	11545	11539	10014	10981	10048	9997
Gm17767	119	154	131	154	96	89	97	97
Gm31636	0	0	0	0	0	0	0	0
Myo1b	7	9	17	15	12	16	8	14
Gm33795	0	0	0	0	0	0	0	0
Stat4	8173	8325	9128	9354	6608	7790	7289	6705
Gm31812	80	93	86	90	70	67	77	54
Stat1	23081	22947	24461	25237	17283	20431	18794	17766
Gls	12364	12656	13504	13896	12085	12888	11928	12035
Gm31867	0	0	0	0	0	0	0	0
Gm31955	0	0	0	0	0	0	0	0
Gm23460	0	0	0	0	0	0	0	0
Nab1	3530	3640	3868	4235	3211	3646	3328	3342
Gm553	5	2	3	2	0	3	0	4
Nemp2	1384	1408	1481	1301	1262	1523	1371	1245
Gm28178	0	0	0	0	0	0	0	0
Mfsd6	968	914	987	1000	827	933	910	810
Inpp1	1071	1042	1207	1050	945	1219	1060	938
Hibch	942	1008	1017	1022	871	1103	896	915
1700019D03Rik	4	9	10	14	9	6	6	9
Mstn	0	0	0	0	0	0	0	0
1700019A02Rik	6	7	8	3	4	5	4	2
Pms1	1169	1177	1211	1327	1112	1260	1112	1076
Ormdl1	1187	1231	1425	1364	1117	1281	1073	1083
Osgepl1	776	749	838	774	694	810	741	679
Asnsd1	3784	3760	4308	4267	3303	3821	3477	3372
Asdurf	0	0	0	0	0	0	0	0
Dnah7a	1	0	0	4	0	1	0	0
