symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Abca1	2147.232410142484	6.184667583221517	0.10154398948567415	0	0
Abcg1	3426.099515624207	1.8684476241472303	0.036186301414181506	0	0
Vim	12794.000767769303	1.1154759744928298	0.030406805152465417	1.8704615825323415e-295	7.2012770927495145e-292
Hic1	1554.25281524391	-1.6307352496244036	0.046190584701187365	1.1891818743894781e-274	3.4337626622996184e-271
Srebf1	14211.545256661217	0.7612713986913608	0.025175565228559245	1.9806344686102006e-202	4.575265622489564e-199
Scd1	24850.73809609684	0.8155204859209281	0.029828934151943067	9.999692022074887e-166	1.9249407142494156e-162
Arl4c	2582.4244780411223	1.099019026450556	0.0474169081520064	1.155089198016326e-119	1.9058971767269378e-116
Lgals3	2078.093558187523	1.2260543794505037	0.05768139221068542	3.136450951924122e-101	4.528251061840451e-98
Scd2	119413.41075900753	0.48861440978459103	0.026183027443135054	2.990049124367946e-80	3.8372297096055305e-77
Mylip	395.92764430137754	1.5225039728537502	0.08451660434654719	5.440413404690082e-74	6.2836774824170446e-71
Sema4a	688.2673802890599	1.175146651377893	0.06568281589326767	1.7075182096698976e-72	1.7928941201533924e-69
Gbp2	5544.012852299419	-0.6005869420925172	0.036657301723240554	1.3771970085457341e-63	1.325552120725269e-60
Fasn	48298.230745860295	0.5500549420997196	0.03358111186464987	1.8264864520232393e-63	1.6227629631437242e-60
B4galt5	6947.987257249523	0.46259176846832706	0.028784362081379584	2.6471070623491944e-60	2.1838633264380853e-57
Lmna	598.6037401495287	1.082509340905889	0.06887459844160199	1.746792481006541e-56	1.3450302103750367e-53
Mpp2	629.0334312172804	1.0417425532755762	0.0679988190922434	8.933217795758178e-54	6.448666596312935e-51
Acsl3	2015.253988947731	0.6548139418417596	0.043776963064821664	1.819548584275601e-53	1.236222714610776e-50
Crabp2	727.2588079137893	0.9778676324451611	0.06405337318422492	2.0332982240745772e-53	1.304699693781187e-50
Itga4	2094.1010971753494	-0.6391628421224606	0.04435239784969116	4.2018852411997596e-50	2.554303922939854e-47
Enpp4	1555.3853454932118	-0.7914402437547639	0.05568922218415146	2.694431197324182e-47	1.556034016454715e-44
Asb2	842.0396264223552	-0.8328922220396784	0.05930234642633295	5.4081498473531725e-46	2.974482416044245e-43
Dennd5a	2112.224575604919	0.6641075976049722	0.05141218330557707	5.801517515447055e-41	3.045796695609704e-38
Lpcat3	4258.775506124114	0.46904076436957876	0.03620084596137984	1.162247954844645e-40	5.836506034111152e-38
Iigp1	3974.068164158386	-0.6500975122063801	0.05186640990373102	5.820458708315146e-39	2.8010957533766642e-36
Lexis1	81.03556834547211	5.9915176946815505	0.47377128917596756	4.505838608431768e-37	2.081697437095477e-34
Gbp4	5874.553406968943	-0.38115052369020364	0.030660052592473366	9.098431065673734e-37	4.04180303109737e-34
Gbp5	3589.827847130062	-0.45718699291567616	0.037454151456067744	2.1826651615840167e-36	9.33695652455385e-34
Rara	1439.3709763816726	0.5720907370159565	0.04831383901041912	1.5587242550262286e-35	6.429737551983193e-33
Tgtp1	1202.6887287231132	-0.5940404747502757	0.05175159628852554	1.0858678771353864e-33	4.324749648590936e-31
Rxra	541.9490340136618	0.8046017720661631	0.06825925950128173	1.632706833199063e-33	6.285921307816393e-31
Ifngr1	2797.074306990548	-0.40750487767126337	0.03550450396735029	4.869811413949262e-32	1.8143974784230314e-29
Gfi1	4424.585729438108	-0.39672249785525476	0.034595954154128465	7.041631733226052e-32	2.527252238746005e-29
Irf1	7700.02411116061	-0.34014630304957694	0.029429198526878076	7.220720682131443e-32	2.527252238746005e-29
Samhd1	10998.603776915703	-0.31369483800489956	0.027150055248585152	1.1125272932962924e-31	3.7793206581094635e-29
Plac8	5046.525873612828	-0.38649572192579396	0.033778346184229084	1.1776207660350817e-31	3.8861485279157697e-29
